year,region,sex,sex_count,total_count,proportion
2000-01-01,Kyrgyzstan,F,20.0,68.0,0.29
2000-01-01,Tajikistan,M,2.0,4.0,0.5
2000-01-01,Tajikistan,F,2.0,4.0,0.5
2000-01-01,Armenia,M,25.0,27.0,0.93
2000-01-01,Armenia,F,2.0,27.0,0.07
2000-01-01,Ukraine,M,216.0,369.0,0.59
2000-01-01,Ukraine,F,153.0,369.0,0.41
2000-01-01,Latvia,M,43.0,60.0,0.72
2000-01-01,Latvia,F,17.0,60.0,0.28
2000-01-01,Turkmenistan,M,4.0,8.0,0.5
2000-01-01,Turkmenistan,F,4.0,8.0,0.5
2000-01-01,Lithuania,M,47.0,78.0,0.6
2000-01-01,Lithuania,F,31.0,78.0,0.4
2000-01-01,Moldova,M,30.0,35.0,0.86
2000-01-01,Moldova,F,5.0,35.0,0.14
1972-01-01,Estonia,M,4.0,6.0,0.67
1972-01-01,Estonia,F,2.0,6.0,0.33
1972-01-01,Azerbaijan,M,0.0,0.0,0.0
1972-01-01,Azerbaijan,F,0.0,0.0,0.0
1972-01-01,Russia,M,356.0,468.0,0.76
1972-01-01,Russia,F,112.0,468.0,0.24
1972-01-01,Belarus,M,4.0,27.0,0.15
1972-01-01,Belarus,F,23.0,27.0,0.85
1972-01-01,Georgia,M,15.0,20.0,0.75
1972-01-01,Georgia,F,5.0,20.0,0.25
1972-01-01,Kazakhstan,M,1.0,1.0,1.0
1972-01-01,Kazakhstan,F,0.0,1.0,0.0
1972-01-01,Uzbekistan,M,1.0,7.0,0.14
1972-01-01,Uzbekistan,F,6.0,7.0,0.86
1972-01-01,Kyrgyzstan,M,0.0,0.0,0.0
1972-01-01,Kyrgyzstan,F,0.0,0.0,0.0
1972-01-01,Tajikistan,M,0.0,0.0,0.0
1972-01-01,Tajikistan,F,0.0,0.0,0.0
1972-01-01,Armenia,M,11.0,11.0,1.0
1972-01-01,Armenia,F,0.0,11.0,0.0
1972-01-01,Ukraine,M,71.0,92.0,0.77
1972-01-01,Ukraine,F,21.0,92.0,0.23
1972-01-01,Latvia,M,8.0,9.0,0.89
1972-01-01,Latvia,F,1.0,9.0,0.11
1972-01-01,Turkmenistan,M,0.0,0.0,0.0
1972-01-01,Turkmenistan,F,0.0,0.0,0.0
1972-01-01,Lithuania,M,6.0,9.0,0.67
1972-01-01,Lithuania,F,3.0,9.0,0.33
1972-01-01,Moldova,M,0.0,0.0,0.0
1972-01-01,Moldova,F,0.0,0.0,0.0
1988-01-01,Estonia,M,10.0,12.0,0.83
1988-01-01,Estonia,F,2.0,12.0,0.17
1988-01-01,Azerbaijan,M,6.0,6.0,1.0
1988-01-01,Azerbaijan,F,0.0,6.0,0.0
1988-01-01,Russia,M,339.0,504.0,0.67
1988-01-01,Russia,F,165.0,504.0,0.33
1988-01-01,Belarus,M,11.0,30.0,0.37
1988-01-01,Belarus,F,19.0,30.0,0.63
1988-01-01,Georgia,M,21.0,27.0,0.78
1988-01-01,Georgia,F,6.0,27.0,0.22
1988-01-01,Kazakhstan,M,23.0,24.0,0.96
1988-01-01,Kazakhstan,F,1.0,24.0,0.04
1988-01-01,Uzbekistan,M,7.0,10.0,0.7
1988-01-01,Uzbekistan,F,3.0,10.0,0.3
1988-01-01,Kyrgyzstan,M,1.0,1.0,1.0
1988-01-01,Kyrgyzstan,F,0.0,1.0,0.0
1988-01-01,Tajikistan,M,0.0,0.0,0.0
1988-01-01,Tajikistan,F,0.0,0.0,0.0
1988-01-01,Armenia,M,9.0,9.0,1.0
1988-01-01,Armenia,F,0.0,9.0,0.0
1988-01-01,Ukraine,M,58.0,119.0,0.49
1988-01-01,Ukraine,F,61.0,119.0,0.51
1988-01-01,Latvia,M,15.0,18.0,0.83
1988-01-01,Latvia,F,3.0,18.0,0.17
1988-01-01,Turkmenistan,M,0.0,0.0,0.0
1988-01-01,Turkmenistan,F,0.0,0.0,0.0
1988-01-01,Lithuania,M,18.0,29.0,0.62
1988-01-01,Lithuania,F,11.0,29.0,0.38
1988-01-01,Moldova,M,7.0,7.0,1.0
1988-01-01,Moldova,F,0.0,7.0,0.0
2006-01-01,Estonia,M,39.0,63.0,0.62
2006-01-01,Estonia,F,24.0,63.0,0.38
2006-01-01,Azerbaijan,M,1.0,2.0,0.5
2006-01-01,Azerbaijan,F,1.0,2.0,0.5
2006-01-01,Russia,M,172.0,283.0,0.61
2006-01-01,Russia,F,111.0,283.0,0.39
2006-01-01,Belarus,M,28.0,70.0,0.4
2006-01-01,Belarus,F,42.0,70.0,0.6
2006-01-01,Georgia,M,3.0,4.0,0.75
2006-01-01,Georgia,F,1.0,4.0,0.25
2006-01-01,Kazakhstan,M,67.0,97.0,0.69
2006-01-01,Kazakhstan,F,30.0,97.0,0.31
2006-01-01,Uzbekistan,M,2.0,4.0,0.5
2006-01-01,Uzbekistan,F,2.0,4.0,0.5
2006-01-01,Kyrgyzstan,M,2.0,2.0,1.0
2006-01-01,Kyrgyzstan,F,0.0,2.0,0.0
2006-01-01,Tajikistan,M,3.0,3.0,1.0
2006-01-01,Tajikistan,F,0.0,3.0,0.0
2006-01-01,Armenia,M,8.0,9.0,0.89
2006-01-01,Armenia,F,1.0,9.0,0.11
2006-01-01,Ukraine,M,61.0,109.0,0.56
2006-01-01,Ukraine,F,48.0,109.0,0.44
2006-01-01,Latvia,M,72.0,92.0,0.78
2006-01-01,Latvia,F,20.0,92.0,0.22
2006-01-01,Turkmenistan,M,0.0,0.0,0.0
2006-01-01,Turkmenistan,F,0.0,0.0,0.0
2006-01-01,Lithuania,M,7.0,14.0,0.5
2006-01-01,Lithuania,F,7.0,14.0,0.5
2006-01-01,Moldova,M,3.0,10.0,0.3
2006-01-01,Moldova,F,7.0,10.0,0.7
2010-01-01,Estonia,M,37.0,64.0,0.58
2010-01-01,Estonia,F,27.0,64.0,0.42
2010-01-01,Azerbaijan,M,2.0,4.0,0.5
2010-01-01,Azerbaijan,F,2.0,4.0,0.5
2010-01-01,Russia,M,153.0,279.0,0.55
2010-01-01,Russia,F,126.0,279.0,0.45
2010-01-01,Belarus,M,53.0,95.0,0.56
2010-01-01,Belarus,F,42.0,95.0,0.44
2010-01-01,Georgia,M,5.0,9.0,0.56
2010-01-01,Georgia,F,4.0,9.0,0.44
2010-01-01,Kazakhstan,M,52.0,100.0,0.52
2010-01-01,Kazakhstan,F,48.0,100.0,0.48
2010-01-01,Uzbekistan,M,2.0,5.0,0.4
2010-01-01,Uzbekistan,F,3.0,5.0,0.6
2010-01-01,Kyrgyzstan,M,2.0,3.0,0.67
2010-01-01,Kyrgyzstan,F,1.0,3.0,0.33
2010-01-01,Tajikistan,M,4.0,4.0,1.0
2010-01-01,Tajikistan,F,0.0,4.0,0.0
2010-01-01,Armenia,M,3.0,6.0,0.5
2010-01-01,Armenia,F,3.0,6.0,0.5
2010-01-01,Ukraine,M,44.0,95.0,0.46
2010-01-01,Ukraine,F,51.0,95.0,0.54
2010-01-01,Latvia,M,61.0,81.0,0.75
2010-01-01,Latvia,F,20.0,81.0,0.25
2010-01-01,Turkmenistan,M,0.0,0.0,0.0
2010-01-01,Turkmenistan,F,0.0,0.0,0.0
2010-01-01,Lithuania,M,8.0,13.0,0.62
2010-01-01,Lithuania,F,5.0,13.0,0.38
2010-01-01,Moldova,M,7.0,11.0,0.64
2010-01-01,Moldova,F,4.0,11.0,0.36
2014-01-01,Estonia,M,46.0,66.0,0.7
2014-01-01,Estonia,F,20.0,66.0,0.3
2014-01-01,Azerbaijan,M,3.0,4.0,0.75
2014-01-01,Azerbaijan,F,1.0,4.0,0.25
2014-01-01,Russia,M,201.0,353.0,0.57
2014-01-01,Russia,F,152.0,353.0,0.43
2014-01-01,Belarus,M,42.0,72.0,0.58
2014-01-01,Belarus,F,30.0,72.0,0.42
2014-01-01,Georgia,M,4.0,7.0,0.57
2014-01-01,Georgia,F,3.0,7.0,0.43
2014-01-01,Kazakhstan,M,74.0,115.0,0.64
2014-01-01,Kazakhstan,F,41.0,115.0,0.36
2014-01-01,Uzbekistan,M,3.0,5.0,0.6
2014-01-01,Uzbekistan,F,2.0,5.0,0.4
2014-01-01,Kyrgyzstan,M,2.0,2.0,1.0
2014-01-01,Kyrgyzstan,F,0.0,2.0,0.0
2014-01-01,Tajikistan,M,1.0,1.0,1.0
2014-01-01,Tajikistan,F,0.0,1.0,0.0
2014-01-01,Armenia,M,5.0,6.0,0.83
2014-01-01,Armenia,F,1.0,6.0,0.17
2014-01-01,Ukraine,M,45.0,101.0,0.45
2014-01-01,Ukraine,F,56.0,101.0,0.55
2014-01-01,Latvia,M,69.0,82.0,0.84
2014-01-01,Latvia,F,13.0,82.0,0.16
2014-01-01,Turkmenistan,M,0.0,0.0,0.0
2014-01-01,Turkmenistan,F,0.0,0.0,0.0
2014-01-01,Lithuania,M,9.0,20.0,0.45
2014-01-01,Lithuania,F,11.0,20.0,0.55
2014-01-01,Moldova,M,3.0,5.0,0.6
2014-01-01,Moldova,F,2.0,5.0,0.4
