year,region,sport,sport category,medal
1972,Russia,Ice Hockey,Skating,Gold
2008,Ukraine,Athletics,Multi-Discipline,
2012,Ukraine,Athletics,Multi-Discipline,
2016,Ukraine,Canoeing,Paddling Sports,Bronze
1976,Russia,Rowing,Paddling Sports,Bronze
1968,Russia,Rowing,Paddling Sports,
1968,Russia,Figure Skating,Skating,
2004,Russia,Wrestling,Combat Sports,Gold
2008,Russia,Wrestling,Combat Sports,
2000,Russia,Boxing,Combat Sports,
2002,Russia,Ice Hockey,Skating,
2006,Russia,Ice Hockey,Skating,
1992,Russia,Figure Skating,Skating,Gold
1994,Russia,Figure Skating,Skating,Silver
2004,Russia,Athletics,Multi-Discipline,
2004,Russia,Athletics,Multi-Discipline,
1992,Russia,Gymnastics,Gymnastics,Silver
1992,Russia,Gymnastics,Gymnastics,Gold
1992,Russia,Gymnastics,Gymnastics,Silver
1992,Russia,Gymnastics,Gymnastics,Silver
1992,Russia,Gymnastics,Gymnastics,
1992,Russia,Gymnastics,Gymnastics,Silver
1992,Russia,Gymnastics,Gymnastics,
1992,Russia,Gymnastics,Gymnastics,
1996,Ukraine,Gymnastics,Gymnastics,
1996,Ukraine,Gymnastics,Gymnastics,Bronze
1996,Ukraine,Gymnastics,Gymnastics,
1996,Ukraine,Gymnastics,Gymnastics,
1996,Ukraine,Gymnastics,Gymnastics,
1996,Ukraine,Gymnastics,Gymnastics,
1980,Latvia,Swimming,Aquatics,Silver
1980,Latvia,Swimming,Aquatics,Bronze
1980,Latvia,Swimming,Aquatics,Silver
2000,Russia,Athletics,Multi-Discipline,
1996,Belarus,Athletics,Multi-Discipline,
2000,Belarus,Athletics,Multi-Discipline,
1988,Belarus,Athletics,Multi-Discipline,
1996,Belarus,Athletics,Multi-Discipline,
1996,Belarus,Athletics,Multi-Discipline,
2004,Belarus,Athletics,Multi-Discipline,
2016,Russia,Equestrianism,Equestrianism,
2016,Russia,Equestrianism,Equestrianism,
1956,Ukraine,Cycling,Cycling,
2000,Russia,Volleyball,Team Sports,Silver
1996,Kyrgyzstan,Canoeing,Paddling Sports,
1996,Kyrgyzstan,Canoeing,Paddling Sports,
1976,Russia,Shooting,Target Sports,
1980,Russia,Shooting,Target Sports,
1928,Estonia,Speed Skating,Skating,
1928,Estonia,Speed Skating,Skating,
1928,Estonia,Speed Skating,Skating,
1936,Estonia,Speed Skating,Skating,
1936,Estonia,Speed Skating,Skating,
1936,Estonia,Speed Skating,Skating,
1936,Estonia,Speed Skating,Skating,
2008,Tajikistan,Athletics,Multi-Discipline,
1996,Russia,Rowing,Paddling Sports,
1996,Lithuania,Canoeing,Paddling Sports,
1996,Lithuania,Canoeing,Paddling Sports,
2000,Lithuania,Canoeing,Paddling Sports,
2004,Lithuania,Wrestling,Combat Sports,
2008,Lithuania,Wrestling,Combat Sports,Bronze
2004,Kazakhstan,Cycling,Cycling,
2008,Kazakhstan,Cycling,Cycling,
2008,Kazakhstan,Cycling,Cycling,
2016,Armenia,Swimming,Aquatics,
1996,Armenia,Wrestling,Combat Sports,Silver
1956,Armenia,Ice Hockey,Skating,Gold
2004,Russia,Taekwondo,Combat Sports,
1996,Azerbaijan,Weightlifting,Miscellaneous,
2004,Azerbaijan,Weightlifting,Miscellaneous,
2012,Azerbaijan,Boxing,Combat Sports,
2016,Azerbaijan,Boxing,Combat Sports,
1952,Russia,Wrestling,Combat Sports,Silver
2008,Azerbaijan,Judo,Combat Sports,Gold
2012,Azerbaijan,Judo,Combat Sports,
2004,Azerbaijan,Boxing,Combat Sports,Bronze
2008,Azerbaijan,Judo,Combat Sports,
2012,Azerbaijan,Judo,Combat Sports,
1996,Azerbaijan,Fencing,Miscellaneous,
2008,Azerbaijan,Boxing,Combat Sports,
2012,Azerbaijan,Boxing,Combat Sports,Bronze
2016,Azerbaijan,Boxing,Combat Sports,
1996,Azerbaijan,Boxing,Combat Sports,
2016,Armenia,Wrestling,Combat Sports,
2000,Armenia,Wrestling,Combat Sports,
2008,Armenia,Wrestling,Combat Sports,
2004,Azerbaijan,Wrestling,Combat Sports,Gold
2008,Azerbaijan,Wrestling,Combat Sports,
2016,Uzbekistan,Canoeing,Paddling Sports,
1992,Lithuania,Modern Pentathlon,Multi-Discipline,
1992,Lithuania,Modern Pentathlon,Multi-Discipline,
2000,Georgia,Wrestling,Combat Sports,
2004,Georgia,Wrestling,Combat Sports,
2012,Belarus,Trampolining,Gymnastics,
1952,Russia,Athletics,Multi-Discipline,
1968,Russia,Fencing,Miscellaneous,
1968,Russia,Fencing,Miscellaneous,Silver
1972,Russia,Fencing,Miscellaneous,Bronze
1976,Russia,Fencing,Miscellaneous,
2012,Georgia,Wrestling,Combat Sports,Silver
1956,Russia,Shooting,Target Sports,
1988,Russia,Ice Hockey,Skating,Gold
2012,Russia,Judo,Combat Sports,
1994,Ukraine,Biathlon,Skiing Events,
1994,Ukraine,Biathlon,Skiing Events,
1992,Russia,Rowing,Paddling Sports,
1996,Ukraine,Rowing,Paddling Sports,
2010,Russia,Bobsleigh,Sliding,
1952,Russia,Basketball,Team Sports,Silver
2004,Russia,Modern Pentathlon,Multi-Discipline,Gold
2008,Russia,Modern Pentathlon,Multi-Discipline,Gold
2012,Russia,Modern Pentathlon,Multi-Discipline,
2010,Russia,Bobsleigh,Sliding,
2014,Russia,Bobsleigh,Sliding,
1996,Russia,Sailing,Water Sports,
2000,Russia,Sailing,Water Sports,
2004,Russia,Sailing,Water Sports,
1968,Russia,Ice Hockey,Skating,Gold
1976,Russia,Figure Skating,Skating,Silver
1980,Russia,Figure Skating,Skating,Bronze
1964,Russia,Modern Pentathlon,Multi-Discipline,Bronze
1964,Russia,Modern Pentathlon,Multi-Discipline,Gold
2014,Ukraine,Freestyle Skiing,Skiing Events,
2016,Kazakhstan,Fencing,Miscellaneous,
2014,Russia,Bobsleigh,Sliding,
2004,Russia,Fencing,Miscellaneous,
2004,Russia,Fencing,Miscellaneous,Bronze
2008,Turkmenistan,Swimming,Aquatics,
2016,Ukraine,Tennis,Racquet Sports,
2000,Kyrgyzstan,Swimming,Aquatics,
2000,Kyrgyzstan,Swimming,Aquatics,
2004,Kyrgyzstan,Weightlifting,Miscellaneous,
2008,Kyrgyzstan,Weightlifting,Miscellaneous,
1988,Moldova,Shooting,Target Sports,
1996,Moldova,Shooting,Target Sports,
2000,Moldova,Shooting,Target Sports,Silver
2004,Moldova,Shooting,Target Sports,
1912,Russia,Athletics,Multi-Discipline,
1976,Ukraine,Volleyball,Team Sports,Silver
1980,Ukraine,Volleyball,Team Sports,Gold
1960,Russia,Athletics,Multi-Discipline,
1988,Ukraine,Shooting,Target Sports,Gold
1996,Ukraine,Shooting,Target Sports,
1964,Russia,Alpine Skiing,Skiing Events,
1964,Russia,Alpine Skiing,Skiing Events,
1964,Russia,Alpine Skiing,Skiing Events,
1992,Russia,Rowing,Paddling Sports,
1996,Russia,Rowing,Paddling Sports,Bronze
1964,Russia,Volleyball,Team Sports,Gold
1968,Russia,Volleyball,Team Sports,Gold
1996,Russia,Wrestling,Combat Sports,
2008,Russia,Basketball,Team Sports,
2012,Russia,Basketball,Team Sports,Bronze
1912,Russia,Fencing,Miscellaneous,
1912,Russia,Fencing,Miscellaneous,
1912,Russia,Fencing,Miscellaneous,
2008,Russia,Rowing,Paddling Sports,
2012,Russia,Rowing,Paddling Sports,
2016,Russia,Rowing,Paddling Sports,
2000,Russia,Basketball,Team Sports,
2008,Russia,Basketball,Team Sports,
2012,Russia,Athletics,Multi-Discipline,
2000,Russia,Athletics,Multi-Discipline,
1972,Ukraine,Athletics,Multi-Discipline,
2010,Russia,Cross Country Skiing,Skiing Events,
2010,Russia,Cross Country Skiing,Skiing Events,Bronze
2004,Uzbekistan,Swimming,Aquatics,
1960,Russia,Rowing,Paddling Sports,Bronze
2012,Ukraine,Rowing,Paddling Sports,
2004,Belarus,Athletics,Multi-Discipline,
1998,Belarus,Biathlon,Skiing Events,
1998,Belarus,Biathlon,Skiing Events,
1996,Ukraine,Athletics,Multi-Discipline,
1968,Russia,Athletics,Multi-Discipline,
1998,Russia,Ice Hockey,Skating,Silver
2010,Russia,Ice Hockey,Skating,
2012,Ukraine,Rowing,Paddling Sports,
2016,Ukraine,Rowing,Paddling Sports,
2000,Russia,Judo,Combat Sports,
1998,Belarus,Figure Skating,Skating,
2002,Ukraine,Figure Skating,Skating,
2006,Ukraine,Figure Skating,Skating,
2010,Ukraine,Figure Skating,Skating,
1976,Russia,Canoeing,Paddling Sports,Gold
2012,Russia,Swimming,Aquatics,Bronze
2012,Russia,Swimming,Aquatics,
2012,Russia,Swimming,Aquatics,
2016,Russia,Swimming,Aquatics,
2016,Russia,Swimming,Aquatics,
2016,Russia,Swimming,Aquatics,
2016,Russia,Swimming,Aquatics,
1964,Ukraine,Canoeing,Paddling Sports,Gold
1968,Ukraine,Canoeing,Paddling Sports,Gold
1972,Ukraine,Canoeing,Paddling Sports,Gold
1952,Russia,Rowing,Paddling Sports,
1992,Russia,Volleyball,Team Sports,Silver
1996,Russia,Volleyball,Team Sports,
2000,Russia,Volleyball,Team Sports,Silver
1996,Latvia,Weightlifting,Miscellaneous,
1960,Russia,Cross Country Skiing,Skiing Events,
1988,Russia,Handball,Team Sports,Bronze
1992,Russia,Handball,Team Sports,Bronze
1996,Russia,Athletics,Multi-Discipline,
1964,Georgia,Basketball,Team Sports,Silver
1976,Russia,Athletics,Multi-Discipline,
1980,Russia,Athletics,Multi-Discipline,
1956,Russia,Ski Jumping,Skiing Events,
1956,Russia,Nordic Combined,Skiing Events,
2004,Russia,Shooting,Target Sports,
2008,Russia,Shooting,Target Sports,
2012,Russia,Shooting,Target Sports,Bronze
2016,Russia,Shooting,Target Sports,
2012,Russia,Athletics,Multi-Discipline,
1952,Russia,Athletics,Multi-Discipline,
2000,Russia,Trampolining,Gymnastics,Gold
2004,Russia,Trampolining,Gymnastics,Silver
1988,Ukraine,Sailing,Water Sports,Bronze
1992,Ukraine,Sailing,Water Sports,
2004,Russia,Athletics,Multi-Discipline,
1996,Russia,Athletics,Multi-Discipline,
2004,Russia,Judo,Combat Sports,
2008,Russia,Judo,Combat Sports,
2012,Russia,Judo,Combat Sports,
1960,Russia,Cycling,Cycling,Bronze
1964,Russia,Cycling,Cycling,
1964,Russia,Cycling,Cycling,
1968,Russia,Cycling,Cycling,
2008,Russia,Swimming,Aquatics,
2008,Russia,Swimming,Aquatics,
2016,Ukraine,Trampolining,Gymnastics,
1968,Russia,Figure Skating,Skating,
1996,Belarus,Judo,Combat Sports,
2004,Belarus,Judo,Combat Sports,
1976,Russia,Modern Pentathlon,Multi-Discipline,
1976,Russia,Modern Pentathlon,Multi-Discipline,
2000,Lithuania,Athletics,Multi-Discipline,
1964,Lithuania,Rowing,Paddling Sports,
1972,Russia,Rowing,Paddling Sports,
1996,Russia,Athletics,Multi-Discipline,
1924,Latvia,Athletics,Multi-Discipline,
1924,Latvia,Athletics,Multi-Discipline,
1928,Latvia,Athletics,Multi-Discipline,
1936,Latvia,Athletics,Multi-Discipline,
2000,Moldova,Athletics,Multi-Discipline,
1992,Russia,Rowing,Paddling Sports,
1988,Ukraine,Canoeing,Paddling Sports,Silver
2004,Ukraine,Trampolining,Gymnastics,
2008,Ukraine,Trampolining,Gymnastics,
1980,Ukraine,Cycling,Cycling,Gold
2012,Russia,Shooting,Target Sports,
2012,Russia,Basketball,Team Sports,Bronze
2008,Belarus,Athletics,Multi-Discipline,
1996,Kazakhstan,Archery,Target Sports,
1996,Kazakhstan,Archery,Target Sports,
1980,Russia,Fencing,Miscellaneous,
1980,Russia,Fencing,Miscellaneous,Bronze
2014,Russia,Freestyle Skiing,Skiing Events,
1960,Russia,Sailing,Water Sports,
1988,Russia,Speed Skating,Skating,
1980,Georgia,Water Polo,Team Sports,Gold
1988,Georgia,Water Polo,Team Sports,Bronze
1976,Georgia,Water Polo,Team Sports,
1952,Georgia,Water Polo,Team Sports,
1956,Georgia,Water Polo,Team Sports,Bronze
1960,Georgia,Water Polo,Team Sports,Silver
2016,Russia,Judo,Combat Sports,Gold
1956,Latvia,Basketball,Team Sports,Silver
1960,Latvia,Basketball,Team Sports,Silver
1964,Latvia,Basketball,Team Sports,Silver
2012,Kazakhstan,Athletics,Multi-Discipline,
2016,Kazakhstan,Athletics,Multi-Discipline,
1972,Russia,Cross Country Skiing,Skiing Events,
1972,Russia,Cross Country Skiing,Skiing Events,
1972,Russia,Cross Country Skiing,Skiing Events,Gold
1996,Uzbekistan,Judo,Combat Sports,
1988,Russia,Weightlifting,Miscellaneous,Silver
1964,Russia,Athletics,Multi-Discipline,
1994,Ukraine,Luge,Sliding,
1998,Ukraine,Luge,Sliding,
1956,Russia,Boxing,Combat Sports,Silver
1972,Russia,Equestrianism,Equestrianism,
1972,Russia,Equestrianism,Equestrianism,
1992,Russia,Swimming,Aquatics,Gold
2010,Russia,Figure Skating,Skating,
2008,Kazakhstan,Wrestling,Combat Sports,
1996,Uzbekistan,Judo,Combat Sports,
2000,Uzbekistan,Judo,Combat Sports,
2000,Uzbekistan,Shooting,Target Sports,
2000,Uzbekistan,Shooting,Target Sports,
2008,Uzbekistan,Shooting,Target Sports,
2008,Uzbekistan,Shooting,Target Sports,
2000,Ukraine,Swimming,Aquatics,
2000,Ukraine,Swimming,Aquatics,
2000,Ukraine,Swimming,Aquatics,
2004,Ukraine,Swimming,Aquatics,
2004,Ukraine,Swimming,Aquatics,
2004,Ukraine,Swimming,Aquatics,
1992,Russia,Hockey,Miscellaneous,
2016,Russia,Swimming,Aquatics,
1920,Estonia,Wrestling,Combat Sports,
2000,Kazakhstan,Swimming,Aquatics,
2004,Kazakhstan,Swimming,Aquatics,
2008,Kazakhstan,Swimming,Aquatics,
2008,Belarus,Archery,Target Sports,
2012,Belarus,Archery,Target Sports,
2008,Uzbekistan,Judo,Combat Sports,
2000,Belarus,Sailing,Water Sports,
2000,Kazakhstan,Boxing,Combat Sports,
1996,Armenia,Boxing,Combat Sports,
1996,Uzbekistan,Athletics,Multi-Discipline,
1988,Ukraine,Archery,Target Sports,
1988,Ukraine,Archery,Target Sports,
1996,Uzbekistan,Judo,Combat Sports,
2000,Uzbekistan,Judo,Combat Sports,
2008,Russia,Wrestling,Combat Sports,Gold
1976,Armenia,Volleyball,Team Sports,Silver
2004,Latvia,Swimming,Aquatics,
1994,Belarus,Figure Skating,Skating,
2000,Belarus,Fencing,Miscellaneous,
2000,Belarus,Fencing,Miscellaneous,
1980,Russia,Athletics,Multi-Discipline,
1988,Russia,Athletics,Multi-Discipline,
1996,Kazakhstan,Diving,Aquatics,
1952,Russia,Gymnastics,Gymnastics,
1952,Russia,Gymnastics,Gymnastics,Gold
1952,Russia,Gymnastics,Gymnastics,
1952,Russia,Gymnastics,Gymnastics,
1952,Russia,Gymnastics,Gymnastics,
1952,Russia,Gymnastics,Gymnastics,
1952,Russia,Gymnastics,Gymnastics,
1952,Russia,Gymnastics,Gymnastics,
1956,Russia,Gymnastics,Gymnastics,
1956,Russia,Gymnastics,Gymnastics,Gold
1956,Russia,Gymnastics,Gymnastics,Gold
1956,Russia,Gymnastics,Gymnastics,Gold
1956,Russia,Gymnastics,Gymnastics,
1956,Russia,Gymnastics,Gymnastics,
1956,Russia,Gymnastics,Gymnastics,Silver
1956,Russia,Gymnastics,Gymnastics,
1968,Russia,Speed Skating,Skating,
1972,Russia,Speed Skating,Skating,Bronze
1972,Russia,Speed Skating,Skating,
1976,Russia,Speed Skating,Skating,Silver
1976,Russia,Speed Skating,Skating,Bronze
1956,Russia,Gymnastics,Gymnastics,Bronze
1956,Russia,Gymnastics,Gymnastics,Gold
1956,Russia,Gymnastics,Gymnastics,Bronze
1956,Russia,Gymnastics,Gymnastics,
1956,Russia,Gymnastics,Gymnastics,
1956,Russia,Gymnastics,Gymnastics,Bronze
1956,Russia,Gymnastics,Gymnastics,
1960,Russia,Gymnastics,Gymnastics,Silver
1960,Russia,Gymnastics,Gymnastics,Gold
1960,Russia,Gymnastics,Gymnastics,
1960,Russia,Gymnastics,Gymnastics,Silver
1960,Russia,Gymnastics,Gymnastics,
1960,Russia,Gymnastics,Gymnastics,Bronze
2000,Russia,Modern Pentathlon,Multi-Discipline,
2004,Russia,Modern Pentathlon,Multi-Discipline,
2008,Russia,Modern Pentathlon,Multi-Discipline,
2014,Russia,Freestyle Skiing,Skiing Events,
1956,Lithuania,Boxing,Combat Sports,Bronze
1980,Russia,Athletics,Multi-Discipline,
1980,Russia,Athletics,Multi-Discipline,Gold
1988,Russia,Athletics,Multi-Discipline,Gold
2008,Kazakhstan,Athletics,Multi-Discipline,
2012,Kazakhstan,Athletics,Multi-Discipline,
1968,Russia,Athletics,Multi-Discipline,
1972,Russia,Athletics,Multi-Discipline,
2012,Russia,Handball,Team Sports,
1996,Moldova,Wrestling,Combat Sports,Bronze
2008,Russia,Athletics,Multi-Discipline,
1936,Estonia,Weightlifting,Miscellaneous,
1928,Lithuania,Cycling,Cycling,
1960,Russia,Equestrianism,Equestrianism,
1960,Russia,Equestrianism,Equestrianism,
1964,Russia,Equestrianism,Equestrianism,
1964,Russia,Equestrianism,Equestrianism,
2016,Azerbaijan,Wrestling,Combat Sports,
2004,Russia,Wrestling,Combat Sports,Bronze
1996,Ukraine,Wrestling,Combat Sports,
2000,Russia,Wrestling,Combat Sports,Gold
2002,Georgia,Figure Skating,Skating,
2006,Georgia,Figure Skating,Skating,
1996,Russia,Archery,Target Sports,
1996,Russia,Archery,Target Sports,
2004,Russia,Rhythmic Gymnastics,Gymnastics,Gold
1968,Ukraine,Boxing,Combat Sports,Bronze
2000,Belarus,Wrestling,Combat Sports,
2012,Kyrgyzstan,Wrestling,Combat Sports,
2016,Kyrgyzstan,Wrestling,Combat Sports,
2012,Russia,Volleyball,Team Sports,Gold
1992,Russia,Athletics,Multi-Discipline,
2004,Ukraine,Weightlifting,Miscellaneous,
2000,Moldova,Athletics,Multi-Discipline,
2008,Moldova,Athletics,Multi-Discipline,
2012,Moldova,Athletics,Multi-Discipline,
2012,Azerbaijan,Judo,Combat Sports,
1998,Russia,Biathlon,Skiing Events,
1998,Russia,Biathlon,Skiing Events,Bronze
2008,Estonia,Badminton,Racquet Sports,
2012,Estonia,Badminton,Racquet Sports,
2016,Estonia,Badminton,Racquet Sports,
1976,Russia,Wrestling,Combat Sports,Bronze
2016,Uzbekistan,Swimming,Aquatics,
2012,Russia,Gymnastics,Gymnastics,Bronze
2012,Russia,Gymnastics,Gymnastics,Silver
2012,Russia,Gymnastics,Gymnastics,Bronze
2012,Russia,Gymnastics,Gymnastics,Gold
2012,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,Bronze
2016,Russia,Gymnastics,Gymnastics,Silver
2016,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,Gold
2016,Russia,Gymnastics,Gymnastics,
2000,Russia,Wrestling,Combat Sports,Gold
2004,Kazakhstan,Wrestling,Combat Sports,
2008,Kazakhstan,Wrestling,Combat Sports,Bronze
2000,Ukraine,Wrestling,Combat Sports,
2012,Latvia,Athletics,Multi-Discipline,
1980,Latvia,Sailing,Water Sports,Gold
1980,Russia,Hockey,Miscellaneous,Bronze
1988,Russia,Hockey,Miscellaneous,
1996,Russia,Sailing,Water Sports,
1972,Russia,Athletics,Multi-Discipline,
1976,Russia,Athletics,Multi-Discipline,
2000,Ukraine,Athletics,Multi-Discipline,
1996,Ukraine,Shooting,Target Sports,
1996,Ukraine,Shooting,Target Sports,
1996,Ukraine,Shooting,Target Sports,
2000,Ukraine,Shooting,Target Sports,
2000,Ukraine,Shooting,Target Sports,
2000,Ukraine,Shooting,Target Sports,
1968,Ukraine,Swimming,Aquatics,
1968,Ukraine,Swimming,Aquatics,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
2004,Ukraine,Gymnastics,Gymnastics,
1988,Ukraine,Football,Team Sports,Gold
2000,Ukraine,Athletics,Multi-Discipline,
2004,Ukraine,Athletics,Multi-Discipline,
1988,Ukraine,Athletics,Multi-Discipline,
1968,Ukraine,Volleyball,Team Sports,Gold
2012,Lithuania,Athletics,Multi-Discipline,
1968,Ukraine,Athletics,Multi-Discipline,
1968,Ukraine,Athletics,Multi-Discipline,
1988,Russia,Ice Hockey,Skating,Gold
1996,Ukraine,Volleyball,Team Sports,
2016,Ukraine,Athletics,Multi-Discipline,
2008,Ukraine,Weightlifting,Miscellaneous,
2008,Kazakhstan,Boxing,Combat Sports,
1964,Ukraine,Volleyball,Team Sports,Silver
1976,Russia,Basketball,Team Sports,Bronze
1980,Russia,Basketball,Team Sports,Bronze
1980,Russia,Ice Hockey,Skating,Silver
1984,Russia,Ice Hockey,Skating,Gold
2000,Russia,Weightlifting,Miscellaneous,
2000,Russia,Tennis,Racquet Sports,
2000,Russia,Tennis,Racquet Sports,
2004,Russia,Tennis,Racquet Sports,
2004,Russia,Tennis,Racquet Sports,
1988,Ukraine,Handball,Team Sports,Bronze
2016,Ukraine,Boxing,Combat Sports,
2014,Ukraine,Alpine Skiing,Skiing Events,
2014,Ukraine,Alpine Skiing,Skiing Events,
2014,Ukraine,Alpine Skiing,Skiing Events,
2016,Belarus,Weightlifting,Miscellaneous,
2010,Russia,Nordic Combined,Skiing Events,
2014,Russia,Nordic Combined,Skiing Events,
2012,Estonia,Wrestling,Combat Sports,Silver
2016,Estonia,Wrestling,Combat Sports,
2008,Uzbekistan,Judo,Combat Sports,
2004,Tajikistan,Archery,Target Sports,
2014,Russia,Freestyle Skiing,Skiing Events,
2016,Belarus,Athletics,Multi-Discipline,
2006,Russia,Ice Hockey,Skating,
2010,Russia,Ice Hockey,Skating,
1996,Uzbekistan,Swimming,Aquatics,
1996,Uzbekistan,Swimming,Aquatics,
1996,Uzbekistan,Swimming,Aquatics,
2000,Uzbekistan,Swimming,Aquatics,
2000,Uzbekistan,Swimming,Aquatics,
2000,Uzbekistan,Swimming,Aquatics,
2004,Uzbekistan,Swimming,Aquatics,
2016,Georgia,Wrestling,Combat Sports,
2000,Belarus,Synchronized Swimming,Aquatics,
2004,Belarus,Synchronized Swimming,Aquatics,
2012,Georgia,Cycling,Cycling,
2016,Georgia,Canoeing,Paddling Sports,
2016,Ukraine,Rowing,Paddling Sports,
2004,Kyrgyzstan,Wrestling,Combat Sports,
1996,Estonia,Athletics,Multi-Discipline,
1996,Estonia,Athletics,Multi-Discipline,
2008,Ukraine,Equestrianism,Equestrianism,
2008,Ukraine,Equestrianism,Equestrianism,
2012,Ukraine,Equestrianism,Equestrianism,
2012,Ukraine,Equestrianism,Equestrianism,
1988,Russia,Cross Country Skiing,Skiing Events,
1988,Russia,Cross Country Skiing,Skiing Events,
1988,Russia,Cross Country Skiing,Skiing Events,Gold
1994,Russia,Cross Country Skiing,Skiing Events,
1994,Russia,Cross Country Skiing,Skiing Events,
1994,Russia,Cross Country Skiing,Skiing Events,
1998,Russia,Cross Country Skiing,Skiing Events,
2002,Russia,Cross Country Skiing,Skiing Events,
2002,Russia,Cross Country Skiing,Skiing Events,
2002,Russia,Cross Country Skiing,Skiing Events,
2002,Russia,Cross Country Skiing,Skiing Events,
2016,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,Silver
2016,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,
2012,Russia,Athletics,Multi-Discipline,
1988,Ukraine,Canoeing,Paddling Sports,Silver
1988,Ukraine,Canoeing,Paddling Sports,Silver
1992,Ukraine,Canoeing,Paddling Sports,
1976,Ukraine,Canoeing,Paddling Sports,Silver
1976,Ukraine,Canoeing,Paddling Sports,Gold
1980,Ukraine,Canoeing,Paddling Sports,
1980,Russia,Gymnastics,Gymnastics,
1980,Russia,Gymnastics,Gymnastics,Gold
1980,Russia,Gymnastics,Gymnastics,
1980,Russia,Gymnastics,Gymnastics,
1980,Russia,Gymnastics,Gymnastics,
1980,Russia,Gymnastics,Gymnastics,
2000,Ukraine,Modern Pentathlon,Multi-Discipline,
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2012,Ukraine,Gymnastics,Gymnastics,
2016,Latvia,Modern Pentathlon,Multi-Discipline,
1998,Latvia,Biathlon,Skiing Events,
1998,Latvia,Biathlon,Skiing Events,
1998,Latvia,Biathlon,Skiing Events,
2002,Latvia,Biathlon,Skiing Events,
2002,Latvia,Biathlon,Skiing Events,
2002,Latvia,Biathlon,Skiing Events,
2002,Latvia,Biathlon,Skiing Events,
2004,Armenia,Boxing,Combat Sports,
1976,Armenia,Wrestling,Combat Sports,Gold
1980,Armenia,Wrestling,Combat Sports,
1980,Georgia,Judo,Combat Sports,
2004,Azerbaijan,Weightlifting,Miscellaneous,
1968,Russia,Ski Jumping,Skiing Events,
1968,Russia,Ski Jumping,Skiing Events,
1972,Russia,Ski Jumping,Skiing Events,
1972,Russia,Ski Jumping,Skiing Events,
2000,Belarus,Gymnastics,Gymnastics,
2000,Belarus,Gymnastics,Gymnastics,
2000,Belarus,Gymnastics,Gymnastics,
2000,Belarus,Gymnastics,Gymnastics,
2000,Belarus,Gymnastics,Gymnastics,
1988,Lithuania,Football,Team Sports,Gold
2004,Belarus,Rowing,Paddling Sports,
2012,Belarus,Rhythmic Gymnastics,Gymnastics,Silver
1992,Lithuania,Modern Pentathlon,Multi-Discipline,
1992,Lithuania,Modern Pentathlon,Multi-Discipline,
1980,Lithuania,Rowing,Paddling Sports,Bronze
1988,Lithuania,Rowing,Paddling Sports,
1964,Ukraine,Athletics,Multi-Discipline,
1988,Ukraine,Athletics,Multi-Discipline,
1992,Ukraine,Athletics,Multi-Discipline,
1996,Ukraine,Athletics,Multi-Discipline,Gold
2008,Ukraine,Athletics,Multi-Discipline,
2002,Estonia,Cross Country Skiing,Skiing Events,
2002,Estonia,Cross Country Skiing,Skiing Events,
2002,Estonia,Cross Country Skiing,Skiing Events,
2006,Estonia,Cross Country Skiing,Skiing Events,
2006,Estonia,Cross Country Skiing,Skiing Events,
2006,Estonia,Cross Country Skiing,Skiing Events,
2008,Kazakhstan,Volleyball,Team Sports,
2004,Russia,Fencing,Miscellaneous,
2004,Russia,Fencing,Miscellaneous,Bronze
2000,Armenia,Athletics,Multi-Discipline,
1972,Georgia,Canoeing,Paddling Sports,
2016,Russia,Swimming,Aquatics,
2016,Russia,Swimming,Aquatics,
2012,Russia,Equestrianism,Equestrianism,
2004,Ukraine,Judo,Combat Sports,
1960,Ukraine,Canoeing,Paddling Sports,
2004,Russia,Swimming,Aquatics,
2000,Latvia,Cycling,Cycling,
2004,Latvia,Cycling,Cycling,
2000,Kazakhstan,Athletics,Multi-Discipline,
2004,Kazakhstan,Athletics,Multi-Discipline,
2008,Kazakhstan,Athletics,Multi-Discipline,
2012,Kazakhstan,Athletics,Multi-Discipline,
2014,Kazakhstan,Biathlon,Skiing Events,
2014,Kazakhstan,Biathlon,Skiing Events,
2014,Kazakhstan,Biathlon,Skiing Events,
2014,Kazakhstan,Biathlon,Skiing Events,
2014,Kazakhstan,Biathlon,Skiing Events,
1996,Russia,Athletics,Multi-Discipline,
1988,Russia,Water Polo,Team Sports,Bronze
1992,Russia,Water Polo,Team Sports,Bronze
1992,Russia,Figure Skating,Skating,
